Title,Company,Company Location,Job Location,Experience Years,Duration of Job Title,Job Type,Link
Senior Cost Analyst,Nacita -,"6th of October,Giza,Egypt",On-site,4 - 6,23 hoursago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3Gip0dA26tCf-Senior-Cost-Analyst-Nacita-Giza-Egypt
Data Analyst,BTC-Egypt Gold -,"Heliopolis,Cairo,Egypt",On-site,4 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gEK1jr6JJwZf-Data-Analyst-BTC-Egypt-Gold-Cairo-Egypt
Financial Analyst,Confidential -,"Zamalek,Cairo,Egypt",On-site,3 - 5,2 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FRnd5SDn1K7Y-Financial-Analyst-Cairo-Egypt
Reporting and Business Analyst,Chubb life Insurance -,"Katameya,Cairo,Egypt",On-site,2 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/8Rw17OdfBMNQ-Reporting-and-Business-Analyst-Chubb-life-Insurance-Cairo-Egypt
Sales Analyst,Raw African -,"Nasr City,Cairo,Egypt",On-site,3 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/tenIMrCFyXuT-Sales-Analyst-Raw-African-Cairo-Egypt
Financial Analyst (Equities),Blue Ventures -,"Nasr City,Cairo,Egypt",On-site,5 - 7,19 hoursago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vZ71OwhtORMc-Financial-Analyst-Equities-Blue-Ventures-Cairo-Egypt
Software Business Analyst,Safa Soft -,"Maadi,Cairo,Egypt",On-site,3 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Q4syhfvE5ukv-Software-Business-Analyst-Safa-Soft-Cairo-Egypt
Senior Software Business Analyst - On-site,Microwize -,"Sheraton,Cairo,Egypt",On-site,5 - 8,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yP79eVIiIgks-Senior-Software-Business-Analyst---On-site-Microwize-Cairo-Egypt
Cost Analyst,Ostool Transport -,"6th of October,Giza,Egypt",On-site,7 - 10,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/LBuDkezo7I5D-Cost-Analyst-Ostool-Transport-Giza-Egypt
Financial Analyst,Ghataty -,"Cairo,Egypt",On-site,3 - 5,8 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g45ldOUQi3aU-Financial-Analyst-Ghataty-Cairo-Egypt
